name,season,special_location,growth_time,sell_price,seed_price,multiharvest,days_to_regrow
Blue Jazz,Spring,,7,50,30,,
Carrot,Spring,Cannot buy,3,35,0,,
Cauliflower,Spring,,12,175,80,,
Coffee Bean,Spring|Summer,Traveling Cart,10,15,2500,True,2
Garlic,Spring,,4,60,40,,
Green Bean,Spring,,10,40,60,True,3
Kale,Spring,,6,110,70,,
Parsnip,Spring,,4,35,20,,
Potato,Spring,,6,80,50,,
Rhubarb,Spring,Oasis,13,220,100,,
Strawberry,Spring,Egg Festival,8,120,100,True,4
Tulip,Spring,,6,30,20,,
Unmilled Rice [Unirrigated],Spring,,8,30,40,,
Unmilled Rice[Irrigated],Spring,,6,30,40,,
Blueberry,Summer,,13,50,80,True,4
Corn,Summer|Fall,,14,50,150,True,4
Hops,Summer,,11,25,60,True,1
Hot Pepper,Summer,,5,40,40,True,3
Melon,Summer,,12,250,80,,
Poppy,Summer,,7,140,100,,
Radish,Summer,,6,90,40,,
Red Cabbage,Summer,,9,260,100,,
Starfruit,Summer,Oasis,13,750,400,,
Summer Spangle,Summer,,8,90,50,,
Summer Squash,Summer,Cannot buy,6,45,0,True,3
Sunflower,Summer|Fall,,8,80,200,,
Tomato,Summer,,11,60,50,True,4
Wheat,Summer|Fall,,4,25,10,,
Amaranth,Fall,,7,150,70,,
Artichoke,Fall,,8,160,30,,
Beet,Fall,Oasis,6,100,20,,
Bok Choy,Fall,,4,80,50,,
Broccoli,Fall,Cannot buy,8,70,0,True,4
Cranberries,Fall,,7,75,240,True,5
Eggplant,Fall,,5,60,20,True,5
Fairy Rose,Fall,,12,290,200,,
Grape,Fall,,10,80,60,True,3
Pumpkin,Fall,,13,320,100,,
Yam,Fall,,10,160,60,,
Powdermelon,Winter,Cannot buy,7,60,0,,
Ancient Fruit,Spring|Summer|Fall,Crafting Recipe,28,550,0,True,7
Cactus Fruit,Spring|Summer|Fall|Winter,Oasis,12,75,150,True,3
Fiber,Spring|Summer|Fall|Winter,Crafting Recipe,7,1,0,,
Pineapple,Summer,Island Trader,14,300,0,True,7
Taro Root [Unirrigated],Summer,Island Trader,10,100,0,,
Taro Root [Irrigated],Summer,Island Trader,7,100,0,,
Sweet Gem Berry,Fall,Traveling Cart,24,3000,1000,,
Tea Leaves,Spring|Summer|Fall|Winter,Crafting Recipe,20,50,0,True,1

