fertilizer,farming_level,regular_chance,silver_chance,gold_chance,iridium_chance,average_price
,0,97,2,1,0,1.01
,1,91,6,3,0,1.03
,2,85,10,5,0,1.05
,3,80,13,7,0,1.07
,4,75,16,9,0,1.09
,5,69,20,11,0,1.10
,6,64,23,13,0,1.12
,7,60,25,15,0,1.14
,8,55,28,17,0,1.16
,9,50,31,19,0,1.17
,10,46,33,21,0,1.19
,11,42,35,23,0,1.20
,12,38,37,25,0,1.22
,13,34,39,27,0,1.23
,14,30,41,29,0,1.25
1,0,88,8,4,0,1.04
1,1,77,15,8,0,1.08
1,2,68,20,12,0,1.11
1,3,59,26,15,0,1.14
1,4,50,31,19,0,1.17
1,5,42,35,23,0,1.20
1,6,35,39,26,0,1.23
1,7,28,42,30,0,1.25
1,8,22,44,34,0,1.28
1,9,16,47,37,0,1.30
1,10,15,44,41,0,1.32
1,11,14,41,45,0,1.33
1,12,13,39,48,0,1.34
1,13,12,36,52,0,1.35
1,14,11,33,56,0,1.36
2,0,78,14,8,0,1.07
2,1,64,23,13,0,1.12
2,2,52,30,18,0,1.17
2,3,40,36,24,0,1.21
2,4,30,41,29,0,1.25
2,5,21,45,34,0,1.28
2,6,15,45,40,0,1.32
2,7,14,41,45,0,1.33
2,8,13,37,50,0,1.34
2,9,11,33,56,0,1.34
2,10,10,29,61,0,1.38
2,11,9,25,66,0,1.39
2,12,7,21,72,0,1.41
2,13,6,21,72,0,1.43
2,14,4,13,82,0,1.44
3,0,0,84,10,6,1.32
3,1,0,75,16,9,1.36
3,2,0,66,22,13,1.40
3,3,0,57,27,16,1.44
3,4,0,49,31,20,1.47
3,5,0,42,35,23,1.51
3,6,0,35,39,27,1.55
3,7,0,28,42,30,1.58
3,8,0,22,45,34,1.61
3,9,0,16,47,37,1.64
3,10,0,11,48,41,1.67
3,11,0,7,49,44,1.70
3,12,0,3,50,47,1.73
3,13,0,0,49,51,1.76
3,14,0,0,46,55,1.77
